MW251308.1	Rhinolophus acuminatus (Bat)
OK017792.1	Rhinolophus affinis (Bat)
LC663793.1	Rhinolophus cornutus (Bat)
AY278489.2	Homo sapiens
OK017844.1	Rhinolophus sinicus (Bat)
OK287354.1	Rhinolophus sinicus (Bat)
OQ503500.1	Rhinolophus sinicus (Bat)
OR233298.1	Rhinolophus thomasi (Bat)
OR261266.1	Rhinolophus thomasi (Bat)
GQ153547.1	Bat
AY654624.1	Pig
OK017809.1	Rhinolophus sinicus (Bat)
OK017826.1	Rhinolophus sinicus (Bat)
OK287355.1	Rhinolophus blythi (Bat)
OQ297703.1	Rhinolophus sinicus (Bat)
PQ577581.1	Rhinolophus sinicus (Bat)
OQ503504.1	Rhinolophus sinicus (Bat)
OR261264.1	Rhinolophus thomasi (Bat)
KY417144.1	Rhinolophus sinicus (Bat)
MT726045.1	Rhinolophus sp. (Bat)
MT782115.1	Bat
PQ577590.1	Rhinolophus sinicus (Bat)
OK017829.1	Rhinolophus sinicus (Bat)
OL674080.1	Rhinolophus stheno (Bat)
NC_045512.2	Homo sapiens
OR233295.1	Rhinolophus thomasi (Bat)
FJ588686.1	Rhinolophus sinicus (Bat)
OL674078.1	Rhinolophus stheno (Bat)
OK017846.1	Rhinolophus sinicus (Bat)
OR233303.1	Rhinolophus thomasi (Bat)
AY394985.1	Homo sapiens
OK017833.1	Rhinolophus sinicus (Bat)
JX993988.1	Chaerephon plicata (Bat)
KU182964.1	Rhinolophus Ferrumequinum (Bat)
MK211378.1	Rhinolophus affinis (Bat)
OK017828.1	Rhinolophus sinicus (Bat)
PQ577588.1	Rhinolophus sinicus (Bat)
KY770860.1	Rhinolophus Ferrumequinum (Bat)
MZ081381.1	Rhinolophus pusillus (Bat)
OK017806.1	Rhinolophus pusillus (Bat)
OR233294.1	Rhinolophus thomasi (Bat)
OR233296.1	Rhinolophus thomasi (Bat)
GQ153546.1	Bat
MW703458.1	Rhinolophus blythi (Bat)
OK017827.1	Rhinolophus sinicus (Bat)
OK017835.1	Rhinolophus sinicus (Bat)
OK017842.1	Rhinolophus sinicus (Bat)
PQ577578.1	Rhinolophus sinicus (Bat)
OK017799.1	Rhinolophus Ferrumequinum (Bat)
OK017834.1	Rhinolophus sinicus (Bat)
AY304486.1	Civet
DQ071615.1	Bat
DQ648856.1	Bat
KC881005.1	Rhinolophus sinicus (Bat)
MT072864.1	pangolin
MT040335.1	Manis javanica (Malayan pangolin)
OQ503498.1	Rhinolophus sinicus (Bat)
MK211375.1	Rhinolophus affinis (Bat)
OQ503496.1	Rhinolophus sinicus (Bat)
HG994856.1	Homo sapiens
OK017805.1	Rhinolophus pusillus (Bat)
AY463060.1	Homo sapiens
DQ084200.1	Bat
OK017847.1	Rhinolophus sinicus (Bat)
OK017857.1	Rhinolophus sinicus (Bat)
HG994854.1	Homo sapiens
AY390556.1	Homo sapiens
KJ473813.1	Rhinolophus Ferrumequinum (Bat)
KY417145.1	Rhinilophus ferrumequinum (Bat)
OK017801.1	Rhinolophus sp. (Bat)
HG994853.1	Homo sapiens
FJ882951.1	mouse
MN996532.2	Rhinolophus affinis (Bat)
MT121216.1	Manis javanica (Malayan pangolin)
PV584046.1	Bat Rhinolophus simulator
KY417142.1	Aselliscus stoliczkanus (Bat)
OQ297705.1	Rhinolophus rex (Bat)
KY417150.1	Rhinolophus sinicus (Bat)
MG772934.1	Rhinolophus pusillus (Bat)
OR261263.1	Rhinolophus thomasi (Bat)
MK211374.1	Rhinolophus sp. (Bat)
AY772062.1	Homo sapiens
MT308984.1	mouse
OQ297701.1	Rhinolophus sinicus (Bat)
PQ577585.1	Rhinolophus sinicus (Bat)
KF367457.1	Rhinolophus sinicus (Bat)
KJ473816.1	Rhinolophus sinicus (Bat)
AY545918.1	Paguma larvata (Himalayan palm civets)
DQ412043.1	Rhinolophus macrotis (Bat)
GQ153548.1	Bat
KY938558.1	Rhinolophus Ferrumequinum (Bat)
